Sample.ID,TA,Mass,Sal,Type,Notes,CRM.Batch,CRM.Std.Value,CRM.Measured.Value1,CRM.Measured.Value2,TA.file.name
20180710_JUNK,2052.711964,60.1947,35,Junk,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run1.csv
20180710_CRM1,2225.105835,60.6675,33.481,CRM,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run1.csv
20180710_CRM2,2223.883756,59.3856,33.481,CRM,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run1.csv
20160805_Bin1,2735.283611,61.0066,28.3,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin2,2728.72975,58.9833,28.3,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin3,2733.381181,60.4385,28.2,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin4,2724.334229,59.9791,28.4,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin5,2744.701912,60.3505,28.5,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin6,2731.01057,58.9892,28.6,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin7,2866.911272,59.112,28.4,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin8,2855.135909,59.0996,28.5,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20160805_Bin9,2823.759719,60.2721,28.4,Bin,Putnam_Method,Batch168,2207.62,2225.10584,2223.88376,20180710_Run3.csv
20180711_JUNK,2063.653364,59.3809,35,Junk,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_CRM2.csv
20180711_CRM1,2234.516118,59.2144,33.481,CRM,Putnam_Method,Batch168,2207.62,2234.51612,2231.25672,20180711_CRM2.csv
