"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005874",0.0108981413400029,0.994838899923095,18,203,"microtubule","CC"
"2","GO:0045892",0.0355379427497582,0.98155972096028,16,200,"negative regulation of transcription, DNA-templated","BP"
"3","GO:0004842",0.0293280901053147,0.985527231027785,15,178,"ubiquitin-protein transferase activity","MF"
"4","GO:0062023",0.00525846453047627,0.997896958983395,15,146,"collagen-containing extracellular matrix","CC"
"5","GO:0004672",0.0256626148933073,0.989218956154978,11,116,"protein kinase activity","MF"
"6","GO:0005516",0.0130901119080673,0.995047847180619,11,103,"calmodulin binding","MF"
"7","GO:0007018",0.00875747390376585,0.997066452454606,10,85,"microtubule-based movement","BP"
"8","GO:0007166",0.0136074377417983,0.995432529090625,9,78,"cell surface receptor signaling pathway","BP"
"9","GO:0030286",0.00100671053985991,0.999805666769529,8,43,"dynein complex","CC"
"10","GO:0005912",0.0230998116553567,0.99280989439902,7,58,"adherens junction","CC"
"11","GO:0031175",0.018736376727887,0.994422600865298,7,56,"neuron projection development","BP"
"12","GO:0000226",0.0173262937711281,0.995541078257664,6,43,"microtubule cytoskeleton organization","BP"
"13","GO:0090090",0.0245374936268568,0.993135156884186,6,46,"negative regulation of canonical Wnt signaling pathway","BP"
"14","GO:0005923",0.0369512629266722,0.990122210649944,5,38,"bicellular tight junction","CC"
"15","GO:0006351",0.025296323210909,0.993937327222547,5,34,"transcription, DNA-templated","BP"
"16","GO:0007517",0.0394841044623888,0.989234921947498,5,39,"muscle organ development","BP"
"17","GO:0008569",0.0269083375245462,0.993429910947117,5,35,"ATP-dependent microtubule motor activity, minus-end-directed","MF"
"18","GO:0019934",0.0259050875174718,0.993737597111202,5,35,"cGMP-mediated signaling","BP"
"19","GO:0030514",0.0194918638299994,0.995645001518929,5,33,"negative regulation of BMP signaling pathway","BP"
"20","GO:0032880",0.00901010554501637,0.998376006057606,5,27,"regulation of protein localization","BP"
"21","GO:0045505",0.0401500242708507,0.98900367829983,5,39,"dynein intermediate chain binding","MF"
"22","GO:0051959",0.0299345157371396,0.99246581579036,5,36,"dynein light intermediate chain binding","MF"
"23","GO:0005796",0.0396569344636069,0.991214417519181,4,27,"Golgi lumen","CC"
"24","GO:0017046",0.0372171718974757,0.991947962461406,4,26,"peptide hormone binding","MF"
"25","GO:0019933",0.0139643895817154,0.997831871089997,4,20,"cAMP-mediated signaling","BP"
"26","GO:0045088",0.00647202650263894,0.999227906102121,4,16,"regulation of innate immune response","BP"
"27","GO:0045165",0.0146802091088999,0.997686409654329,4,20,"cell fate commitment","BP"
"28","GO:0050680",0.0326959031684642,0.993235530081749,4,25,"negative regulation of epithelial cell proliferation","BP"
"29","GO:0050727",0.0402230377455235,0.991048699815761,4,27,"regulation of inflammatory response","BP"
"30","GO:0050729",0.0231800608786219,0.995728587448316,4,23,"positive regulation of inflammatory response","BP"
"31","GO:0060076",0.0125679195226834,0.998123253286252,4,19,"excitatory synapse","CC"
"32","GO:0000124",0.00770214635343118,0.999427098625756,3,9,"SAGA complex","CC"
"33","GO:0000812",0.00364233884565374,0.999814877146351,3,7,"Swr1 complex","CC"
"34","GO:0001837",0.0460774692708725,0.992223684564493,3,17,"epithelial to mesenchymal transition","BP"
"35","GO:0001890",0.0271064817219353,0.996392151760606,3,14,"placenta development","BP"
"36","GO:0003429",0.0233475691063195,0.997105236503363,3,13,"growth plate cartilage chondrocyte morphogenesis","BP"
"37","GO:0003727",0.038382381375912,0.994024841587844,3,16,"single-stranded RNA binding","MF"
