"gene"	"adj.pval.Initial.Treatment"
"PGEN_.00g081970"	0
"PGEN_.00g086530"	0
"PGEN_.00g167890"	0
"PGEN_.00g049230"	2.17097606665124e-267
"PGEN_.00g165230"	1.64287010149907e-191
"PGEN_.00g279150"	1.79895250745383e-179
"PGEN_.00g277910"	4.4767466219471e-124
"PGEN_.00g081360"	1.27792009101694e-98
"PGEN_.00g198010"	1.06405216746726e-94
"PGEN_.00g127230"	9.72634323990389e-89
"PGEN_.00g334400"	3.90984339002125e-88
"PGEN_.00g316430"	6.11905060694184e-85
"PGEN_.00g291910"	7.59354194203148e-83
"PGEN_.00g279140"	1.9063954100382e-81
"PGEN_.00g147380"	6.18682524079999e-81
"PGEN_.00g208580"	1.51022692051445e-76
"PGEN_.00g043790"	1.30398028402998e-73
"PGEN_.00g231770"	3.88337077143344e-65
"PGEN_.00g213350"	3.99758363185048e-63
"PGEN_.00g009320"	5.98755384917355e-53
"PGEN_.00g076380"	1.40097659026782e-52
"PGEN_.00g068720"	4.69321516489737e-50
"PGEN_.00g101030"	1.81813409680696e-46
"PGEN_.00g149270"	1.34241865059941e-45
"PGEN_.00g322650"	1.29691595075483e-44
"PGEN_.00g168070"	1.71490811788585e-44
"PGEN_.00g278820"	4.20859715071636e-44
"PGEN_.00g106980"	1.01696283148223e-42
"PGEN_.00g345540"	6.03154294825204e-42
"PGEN_.00g101840"	3.27615934492435e-41
"PGEN_.00g130700"	8.00656793954642e-40
"PGEN_.00g035080"	1.61335887347129e-39
"PGEN_.00g342450"	2.38829347613209e-39
"PGEN_.00g282120"	2.43904179317159e-39
"PGEN_.00g113990"	6.55935210619287e-38
"PGEN_.00g309030"	1.62873157562572e-37
"PGEN_.00g032730"	7.57402440140204e-36
"PGEN_.00g295480"	1.76254021053524e-35
"PGEN_.00g233360"	1.50659266182294e-34
"PGEN_.00g151250"	6.21892500630422e-34
"PGEN_.00g342460"	2.92583860881598e-33
"PGEN_.00g295080"	2.05397350429577e-32
"PGEN_.00g208420"	6.33634094971515e-32
"PGEN_.00g209370"	5.5134890776708e-31
"PGEN_.00g073800"	9.97613703607517e-31
"PGEN_.00g164020"	1.27360345993926e-29
"PGEN_.00g116710"	8.97269359572477e-28
"PGEN_.00g215440"	1.7332979332213e-27
"PGEN_.00g312690"	1.95261166442312e-27
"PGEN_.00g346240"	1.53033791539607e-26
"PGEN_.00g127190"	1.59134046379009e-26
"PGEN_.00g337850"	2.87464045048805e-26
"PGEN_.00g308970"	9.25141044725216e-26
"PGEN_.00g003330"	1.04663354759666e-25
"PGEN_.00g291920"	1.50972701314974e-25
"PGEN_.00g296000"	7.54773753077172e-25
"PGEN_.00g328960"	5.51916196176263e-24
"PGEN_.00g188760"	2.03222548629107e-23
"PGEN_.00g038260"	8.44997324743996e-23
"PGEN_.00g051380"	1.07959774202886e-22
"PGEN_.00g285330"	3.35377711984553e-22
"PGEN_.00g251710"	1.27484256041207e-21
"PGEN_.00g131080"	1.93847471001953e-21
"PGEN_.00g345410"	1.98297932550517e-21
"PGEN_.00g073580"	2.39233811081345e-21
"PGEN_.00g149290"	4.25961088732481e-21
"PGEN_.00g213500"	8.05738782303742e-21
"PGEN_.00g299810"	3.76669022946281e-20
"PGEN_.00g277360"	2.07794667254711e-19
"PGEN_.00g160750"	2.49200261353812e-19
"PGEN_.00g273120"	4.72708613963314e-19
"PGEN_.00g164940"	4.79762044394474e-19
"PGEN_.00g194180"	5.43600432805318e-19
"PGEN_.00g309060"	1.16118626767995e-18
"PGEN_.00g133470"	1.30004926480524e-18
"PGEN_.00g175550"	2.49488758999788e-18
"PGEN_.00g186170"	5.108502633284e-18
"PGEN_.00g282450"	5.7934699538019e-17
"PGEN_.00g097550"	5.85279948570918e-17
"PGEN_.00g133120"	6.47233071548682e-17
"PGEN_.00g203280"	7.82690577680464e-17
"PGEN_.00g243400"	1.8744483161383e-16
"PGEN_.00g114520"	2.44891594004417e-16
"PGEN_.00g024960"	3.67030485762219e-16
"PGEN_.00g208340"	3.67030485762219e-16
"PGEN_.00g232340"	9.34103580318632e-16
"PGEN_.00g209090"	1.01198425645393e-15
"PGEN_.00g068680"	1.9924123266612e-15
"PGEN_.00g221890"	5.69648389442052e-15
"PGEN_.00g148340"	7.79869822125826e-15
"PGEN_.00g125380"	8.05176913896313e-15
"PGEN_.00g252700"	1.15487296794581e-14
"PGEN_.00g076070"	1.17196593768755e-14
"PGEN_.00g166960"	1.52225538448219e-14
"PGEN_.00g201390"	1.56496374935996e-14
"PGEN_.00g163400"	1.71308621481326e-14
"PGEN_.00g023790"	1.80216923497912e-14
"PGEN_.00g089590"	1.97107868437924e-14
"PGEN_.00g131120"	2.65468930349117e-14
"PGEN_.00g149640"	2.77009958209978e-14
"PGEN_.00g273380"	3.36724880362773e-14
"PGEN_.00g245070"	3.70553861110014e-14
"PGEN_.00g098560"	4.36871897243235e-14
"PGEN_.00g310570"	4.44610866938199e-14
"PGEN_.00g064870"	8.25489786869488e-14
"PGEN_.00g069610"	8.50006180782909e-14
"PGEN_.00g139540"	1.12822792537192e-13
"PGEN_.00g325690"	1.15015172164233e-13
"PGEN_.00g074470"	1.37843618017413e-13
"PGEN_.00g059600"	2.7231799651788e-13
"PGEN_.00g289180"	2.7231799651788e-13
"PGEN_.00g129780"	2.97538495866067e-13
"PGEN_.00g164270"	3.15818925499198e-13
"PGEN_.00g042060"	3.62201342149473e-13
"PGEN_.00g299840"	4.12993846141888e-13
"PGEN_.00g169560"	4.34200742651447e-13
"PGEN_.00g027530"	5.04615925808034e-13
"PGEN_.00g279730"	5.45877178265447e-13
"PGEN_.00g039910"	7.43076197811576e-13
"PGEN_.00g108700"	7.80121064753775e-13
"PGEN_.00g022180"	8.34337655598348e-13
"PGEN_.00g150310"	1.13040983520774e-12
"PGEN_.00g140310"	1.14106539337965e-12
"PGEN_.00g114980"	1.14920526067599e-12
"PGEN_.00g190090"	1.28360728092157e-12
"PGEN_.00g086480"	1.66184825611692e-12
"PGEN_.00g016220"	1.76723544295384e-12
"PGEN_.00g203960"	1.97925627371604e-12
"PGEN_.00g234300"	2.06544630187391e-12
"PGEN_.00g291060"	2.10091810024473e-12
"PGEN_.00g139570"	3.90054894283204e-12
"PGEN_.00g104250"	5.80531509570046e-12
"PGEN_.00g185240"	5.83457580747052e-12
"PGEN_.00g126640"	8.6183613724938e-12
"PGEN_.00g146050"	9.39235417987698e-12
"PGEN_.00g010450"	9.83020605567345e-12
"PGEN_.00g013950"	1.41670829926361e-11
"PGEN_.00g197680"	1.54641054455131e-11
"PGEN_.00g123920"	1.74215489421183e-11
"PGEN_.00g198170"	2.09581354107394e-11
"PGEN_.00g204470"	2.22765576291168e-11
"PGEN_.00g333690"	2.22765576291168e-11
"PGEN_.00g240760"	3.27705626708912e-11
"PGEN_.00g077870"	3.2842746996848e-11
"PGEN_.00g190430"	4.80199180302452e-11
"PGEN_.00g171670"	5.29345779472415e-11
"PGEN_.00g003320"	6.4846425660795e-11
"PGEN_.00g026390"	7.31748944995982e-11
"PGEN_.00g274160"	8.13468776474804e-11
"PGEN_.00g236280"	8.43565901837015e-11
"PGEN_.00g166940"	9.69835257572742e-11
"PGEN_.00g078820"	1.02183676796834e-10
"PGEN_.00g017310"	1.1764018516626e-10
"PGEN_.00g143270"	1.24728438603604e-10
"PGEN_.00g043300"	1.25631747095955e-10
"PGEN_.00g166530"	1.25631747095955e-10
"PGEN_.00g309570"	1.297080624731e-10
"PGEN_.00g310440"	1.51713961882292e-10
"PGEN_.00g348620"	1.58070893884495e-10
"PGEN_.00g100950"	1.78002871676837e-10
"PGEN_.00g328520"	1.79618937639131e-10
"PGEN_.00g052170"	2.71637972745112e-10
"PGEN_.00g212500"	2.74525805397302e-10
"PGEN_.00g229290"	2.99102527255322e-10
"PGEN_.00g139560"	3.11967120065073e-10
"PGEN_.00g065700"	3.19316760791561e-10
"PGEN_.00g177540"	3.33255672265807e-10
"PGEN_.00g191340"	3.33255672265807e-10
"PGEN_.00g148470"	3.94505317637173e-10
"PGEN_.00g203950"	4.06955772729442e-10
"PGEN_.00g020420"	4.16898202392161e-10
"PGEN_.00g154890"	4.17503154957554e-10
"PGEN_.00g045970"	4.80527228390512e-10
"PGEN_.00g112000"	4.80527228390512e-10
"PGEN_.00g261080"	4.92606995710019e-10
"PGEN_.00g115170"	4.92671343653112e-10
"PGEN_.00g291070"	5.15327886226957e-10
"PGEN_.00g079760"	6.71101933309635e-10
"PGEN_.00g036880"	6.7768068017116e-10
"PGEN_.00g149280"	9.33696536078495e-10
"PGEN_.00g277890"	1.39872257316155e-09
"PGEN_.00g202020"	1.56578367913215e-09
"PGEN_.00g049510"	1.6956699451494e-09
"PGEN_.00g014370"	1.70717113081924e-09
"PGEN_.00g190710"	1.86029652692795e-09
"PGEN_.00g060400"	1.99802808666761e-09
"PGEN_.00g284690"	2.10559574046848e-09
"PGEN_.00g292360"	2.44287549553439e-09
"PGEN_.00g076180"	2.85122931109085e-09
"PGEN_.00g164830"	3.55017569405799e-09
"PGEN_.00g316170"	4.15627215498851e-09
"PGEN_.00g166920"	4.41981869488679e-09
"PGEN_.00g180050"	4.45609993530058e-09
"PGEN_.00g305530"	5.15827303334152e-09
"PGEN_.00g010510"	5.74955941002062e-09
"PGEN_.00g273250"	5.94246093260056e-09
"PGEN_.00g055170"	7.3528162758542e-09
"PGEN_.00g177600"	8.47882790924368e-09
"PGEN_.00g057380"	9.70625896658065e-09
"PGEN_.00g194770"	9.93768159260376e-09
"PGEN_.00g023640"	1.00810259068726e-08
"PGEN_.00g154790"	1.00810259068726e-08
"PGEN_.00g339540"	1.25193322333099e-08
"PGEN_.00g030340"	1.30331993766553e-08
"PGEN_.00g294980"	1.38213529865039e-08
"PGEN_.00g295490"	1.49799210253151e-08
"PGEN_.00g060650"	1.53980604300398e-08
"PGEN_.00g293770"	1.63560572871685e-08
"PGEN_.00g067250"	1.73983782043294e-08
"PGEN_.00g092080"	1.79983622207305e-08
"PGEN_.00g116640"	1.92991253735121e-08
"PGEN_.00g228480"	2.09597286987359e-08
"PGEN_.00g263030"	2.36767775626664e-08
"PGEN_.00g144670"	2.36833081997752e-08
"PGEN_.00g263790"	2.4734270637564e-08
"PGEN_.00g171290"	2.55760871748631e-08
"PGEN_.00g072210"	2.73753102931969e-08
"PGEN_.00g303160"	2.73753102931969e-08
"PGEN_.00g291540"	2.7451667099527e-08
"PGEN_.00g318790"	2.81024568587378e-08
"PGEN_.00g106140"	2.85268967756738e-08
"PGEN_.00g130160"	3.17301847736141e-08
"PGEN_.00g300060"	3.30083873493427e-08
"PGEN_.00g055620"	3.59141064916459e-08
"PGEN_.00g050180"	3.73800748080879e-08
"PGEN_.00g302860"	4.07493744222091e-08
"PGEN_.00g131450"	4.18814980027491e-08
"PGEN_.00g338160"	5.26748943702712e-08
"PGEN_.00g000180"	5.30832043468501e-08
"PGEN_.00g109360"	5.34950392647056e-08
"PGEN_.00g083960"	5.36713838834319e-08
"PGEN_.00g206830"	5.37304715682813e-08
"PGEN_.00g120380"	6.52007156533469e-08
"PGEN_.00g194760"	8.16440717457701e-08
"PGEN_.00g034500"	8.21643305860391e-08
"PGEN_.00g304970"	8.51475328347281e-08
"PGEN_.00g336030"	9.25717992022673e-08
"PGEN_.00g187810"	9.81931525884279e-08
"PGEN_.00g090230"	1.02209533398923e-07
"PGEN_.00g087910"	1.07373608427734e-07
"PGEN_.00g187930"	1.17492153721305e-07
"PGEN_.00g318170"	1.29502180326182e-07
"PGEN_.00g055690"	1.32323407591835e-07
"PGEN_.00g143460"	1.43168705584194e-07
"PGEN_.00g185020"	1.53534177001513e-07
"PGEN_.00g291200"	1.58423799471756e-07
"PGEN_.00g041110"	1.65473953272295e-07
"PGEN_.00g128070"	1.67250989701879e-07
"PGEN_.00g067800"	1.78202849570951e-07
"PGEN_.00g127200"	1.83635768324586e-07
"PGEN_.00g055200"	1.97779162547951e-07
"PGEN_.00g180630"	2.30016656634222e-07
"PGEN_.00g120700"	2.3914346455215e-07
"PGEN_.00g062630"	2.56875886841803e-07
"PGEN_.00g336970"	2.62700449145066e-07
"PGEN_.00g207740"	2.80753677644804e-07
"PGEN_.00g279710"	2.81543913435524e-07
"PGEN_.00g326070"	2.83979233286576e-07
"PGEN_.00g051410"	3.41644729154677e-07
"PGEN_.00g233560"	3.41644729154677e-07
"PGEN_.00g082390"	3.45331582058002e-07
"PGEN_.00g179440"	3.45331582058002e-07
"PGEN_.00g063030"	3.47449129028711e-07
"PGEN_.00g130130"	3.49100246316818e-07
"PGEN_.00g200990"	3.49100246316818e-07
"PGEN_.00g095220"	3.57717871093552e-07
"PGEN_.00g086210"	3.70194486004409e-07
"PGEN_.00g098830"	3.9711737458836e-07
"PGEN_.00g051430"	4.57083963530111e-07
"PGEN_.00g202160"	4.74855742864537e-07
"PGEN_.00g303930"	5.03351872160469e-07
"PGEN_.00g243810"	5.09279859899814e-07
"PGEN_.00g069450"	5.18976814021615e-07
"PGEN_.00g003970"	5.58345658800199e-07
"PGEN_.00g227970"	5.71659048930209e-07
"PGEN_.00g060440"	5.83388075688202e-07
"PGEN_.00g058720"	5.94776394025811e-07
"PGEN_.00g329630"	6.18182129039551e-07
"PGEN_.00g204300"	6.38763385703709e-07
"PGEN_.00g034440"	6.40791499207895e-07
"PGEN_.00g279210"	6.48383848924985e-07
"PGEN_.00g288440"	6.5264846002907e-07
"PGEN_.00g345220"	6.56095178928706e-07
"PGEN_.00g130110"	6.79864497648073e-07
"PGEN_.00g072950"	6.86214789286296e-07
"PGEN_.00g255630"	6.86214789286296e-07
"PGEN_.00g192640"	7.40406580086668e-07
"PGEN_.00g070620"	7.42293508900636e-07
"PGEN_.00g235990"	7.42661025831693e-07
"PGEN_.00g109630"	8.19704290957725e-07
"PGEN_.00g221000"	8.3437796862633e-07
"PGEN_.00g286080"	8.97849598616596e-07
"PGEN_.00g136060"	9.7582939985614e-07
"PGEN_.00g289490"	9.88810796149963e-07
"PGEN_.00g247700"	1.06653012063082e-06
"PGEN_.00g005310"	1.31802704426534e-06
"PGEN_.00g221880"	1.31802704426534e-06
"PGEN_.00g172140"	1.35491263394919e-06
"PGEN_.00g097800"	1.47961414388147e-06
"PGEN_.00g145870"	1.56404993782324e-06
"PGEN_.00g086020"	1.59677810345968e-06
"PGEN_.00g193590"	1.68858074048012e-06
"PGEN_.00g065950"	1.70627465124926e-06
"PGEN_.00g326080"	1.8607344628086e-06
"PGEN_.00g054210"	1.88873462484586e-06
"PGEN_.00g063400"	1.89453403405525e-06
"PGEN_.00g101990"	1.90733458136439e-06
"PGEN_.00g305680"	2.01785992177055e-06
"PGEN_.00g028040"	2.01978842482715e-06
"PGEN_.00g124830"	2.04093941123998e-06
"PGEN_.00g116020"	2.23990460166618e-06
"PGEN_.00g080730"	2.24086032820319e-06
"PGEN_.00g111090"	2.27042232784508e-06
"PGEN_.00g291050"	2.29151069989848e-06
"PGEN_.00g185010"	2.31816518987778e-06
"PGEN_.00g316700"	2.3560180930267e-06
"PGEN_.00g010910"	2.35890227579421e-06
"PGEN_.00g249400"	2.42402086908656e-06
