"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"4420","GO:0019897",0.000378546991611042,0.999989017927662,3,16,"extrinsic component of plasma membrane","CC"
"10889","GO:0098719",0.000580240338663377,0.999996188301527,2,4,"sodium ion import across plasma membrane","BP"
"7631","GO:0045740",0.00439315676561025,0.999880164626219,2,11,"positive regulation of DNA replication","BP"
"10031","GO:0071300",0.00644701485211534,0.999782687364384,2,12,"cellular response to retinoic acid","BP"
"7103","GO:0043328",0.00846606803850723,1,1,1,"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP"
"2622","GO:0007599",0.00846606803853263,1,1,1,"hemostasis","BP"
"7526","GO:0045446",0.00846606803855307,1,1,1,"endothelial cell differentiation","BP"
"6447","GO:0036090",0.00846606803860101,1,1,1,"cleavage furrow ingression","BP"
"3134","GO:0009710",0.00846609867359943,1,1,1,"tropane alkaloid biosynthetic process","BP"
"8422","GO:0050358",0.00846609867359943,1,1,1,"tropinone reductase activity","MF"
"716","GO:0002724",0.00848293775373935,1,1,1,"regulation of T cell cytokine production","BP"
"10437","GO:0086045",0.00848293775373935,1,1,1,"membrane depolarization during AV node cell action potential","BP"
"10439","GO:0086047",0.00848293775373935,1,1,1,"membrane depolarization during Purkinje myocyte cell action potential","BP"
"10440","GO:0086048",0.00848293775373935,1,1,1,"membrane depolarization during bundle of His cell action potential","BP"
"11738","GO:1903949",0.00848293775373935,1,1,1,"positive regulation of atrial cardiac muscle cell action potential","BP"
"11778","GO:1904199",0.00848293775373935,1,1,1,"positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization","BP"
"1432","GO:0005008",0.0085278015814502,1,1,1,"hepatocyte growth factor-activated receptor activity","MF"
"3525","GO:0014812",0.0085278015814502,1,1,1,"muscle cell migration","BP"
"9799","GO:0070495",0.0085278015814502,1,1,1,"negative regulation of thrombin-activated receptor signaling pathway","BP"
"10158","GO:0071635",0.0085278015814502,1,1,1,"negative regulation of transforming growth factor beta production","BP"
"11329","GO:1901299",0.0085278015814502,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP"
"9245","GO:0060447",0.00886066812190967,1,1,1,"bud outgrowth involved in lung branching","BP"
"9333","GO:0060739",0.00886066812190967,1,1,1,"mesenchymal-epithelial cell signaling involved in prostate gland development","BP"
"10188","GO:0071774",0.00886066812190967,1,1,1,"response to fibroblast growth factor","BP"
"10192","GO:0071799",0.00886066812190967,1,1,1,"cellular response to prostaglandin D stimulus","BP"
"10428","GO:0086003",0.00926541862234135,1,1,1,"cardiac muscle cell contraction","BP"
"10446","GO:0086092",0.00926541862234135,1,1,1,"regulation of the force of heart contraction by cardiac conduction","BP"
"10596","GO:0090533",0.00926541862234135,1,1,1,"cation-transporting ATPase complex","CC"
"11614","GO:1903281",0.00926541862234135,1,1,1,"positive regulation of calcium:sodium antiporter activity","BP"
"3538","GO:0014866",0.00933508683041465,1,1,1,"skeletal myofibril assembly","BP"
"12299","GO:2000290",0.00933508683041465,1,1,1,"regulation of myotome development","BP"
"11972","GO:1905344",0.00942564904268593,1,1,1,"prostaglandin catabolic process","BP"
"2519","GO:0007370",0.0109155750010964,1,1,1,"ventral furrow formation","BP"
"8134","GO:0048144",0.0113718811220751,1,1,1,"fibroblast proliferation","BP"
"6795","GO:0042475",0.0143327484724055,0.999224473890145,2,20,"odontogenesis of dentin-containing tooth","BP"
"5160","GO:0031397",0.0150908092516382,0.999157802190306,2,21,"negative regulation of protein ubiquitination","BP"
"9122","GO:0060173",0.0168382988311238,0.999004464227735,2,21,"limb development","BP"
"1573","GO:0005502",0.0168609521491195,0.99992881606032,1,2,"11-cis retinal binding","MF"
"2656","GO:0008020",0.0168609521491195,0.99992881606032,1,2,"G protein-coupled photoreceptor activity","MF"
"6269","GO:0035516",0.0168663264085052,0.999928770479553,1,2,"oxidative DNA demethylase activity","MF"
"10944","GO:0098911",0.0168776800124501,0.999928674137727,1,2,"regulation of ventricular cardiac muscle cell action potential","BP"
"9408","GO:0061025",0.0169155984776177,0.999928351901937,1,2,"membrane fusion","BP"
"11943","GO:1905098",0.0169231175682111,0.999928287916748,1,2,"negative regulation of guanyl-nucleotide exchange factor activity","BP"
"5530","GO:0032675",0.0169395672615163,0.999928147834387,1,2,"regulation of interleukin-6 production","BP"
"10389","GO:0072710",0.0169685110942348,0.999927901019679,1,2,"response to hydroxyurea","BP"
"4686","GO:0030124",0.017226180559716,0.999925684960661,1,2,"AP-4 adaptor complex","CC"
"5487","GO:0032504",0.0173238209713372,0.999924836373509,1,2,"multicellular organism reproduction","BP"
"3277","GO:0010460",0.0174703394258528,0.999923553871144,1,2,"positive regulation of heart rate","BP"
"1346","GO:0004791",0.0175355875604789,0.999922979219794,1,2,"thioredoxin-disulfide reductase activity","MF"
"6418","GO:0035994",0.0176535812448824,0.999921934516231,1,2,"response to muscle stretch","BP"
"3271","GO:0010447",0.0176778060467626,0.999921719153816,1,2,"response to acidic pH","BP"
"2160","GO:0006660",0.0178899387867768,0.99991982047069,1,2,"phosphatidylserine catabolic process","BP"
"9307","GO:0060665",0.0187844618552178,0.999911561446764,1,2,"regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling","BP"
"10842","GO:0098528",0.0189032288740345,0.999910434152298,1,2,"skeletal muscle fiber differentiation","BP"
"7688","GO:0045886",0.019289861859477,0.999906714432321,1,2,"negative regulation of synaptic growth at neuromuscular junction","BP"
"7920","GO:0046827",0.0194165441342951,0.999905479023406,1,2,"positive regulation of protein export from nucleus","BP"
"10894","GO:0098735",0.0194623664944277,0.999905030141239,1,2,"positive regulation of the force of heart contraction","BP"
"1379","GO:0004836",0.0203606530879287,0.999896013418254,1,2,"tyramine-beta hydroxylase activity","MF"
"4779","GO:0030277",0.0213489312060053,0.999885615889968,1,2,"maintenance of gastrointestinal epithelium","BP"
