"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"5","GO:0061630",0.0492813496518164,0.981543731411091,7,123,"ubiquitin protein ligase activity","MF"
"6","GO:0004725",0.0285765970948557,0.991489419316424,6,87,"protein tyrosine phosphatase activity","MF"
"8","GO:0004518",0.0015539721325577,0.999811505627597,5,33,"nuclease activity","MF"
"16","GO:0001537",0.00247192302277258,0.999870872901608,3,11,"N-acetylgalactosamine 4-O-sulfotransferase activity","MF"
"24","GO:0017046",0.0311286284498313,0.995308861499554,3,26,"peptide hormone binding","MF"
"36","GO:0001733",0.0468661879616914,0.995391510623237,2,13,"galactosylceramide sulfotransferase activity","MF"
"41","GO:0004198",0.0321971620460791,0.997482565083392,2,11,"calcium-dependent cysteine-type endopeptidase activity","MF"
"42","GO:0004991",0.00078860098474228,1,2,2,"parathyroid hormone receptor activity","MF"
"43","GO:0005245",0.0473872860525789,0.995311788327422,2,13,"voltage-gated calcium channel activity","MF"
"44","GO:0005484",0.0443357686559928,0.995771433787201,2,13,"SNAP receptor activity","MF"
"54","GO:0010314",0.00722240508386566,0.999798342233,2,5,"phosphatidylinositol-5-phosphate binding","MF"
"58","GO:0016314",0.00381780296749697,0.99993391919521,2,4,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity","MF"
"65","GO:0035255",0.0230170151586219,0.99855286367851,2,9,"ionotropic glutamate receptor binding","MF"
"69","GO:0042813",0.0491944141698473,0.994985768514651,2,14,"Wnt-activated receptor activity","MF"
"71","GO:0043274",0.0264810270341665,0.998167194930705,2,10,"phospholipase binding","MF"
"74","GO:0047756",0.0173087087031682,0.999090282828936,2,8,"chondroitin 4-sulfotransferase activity","MF"
"81","GO:0050694",0.0286268019075197,0.997933745935804,2,10,"galactose 3-O-sulfotransferase activity","MF"
"93","GO:0070273",0.0313891819494636,0.997618663179348,2,10,"phosphatidylinositol-4-phosphate binding","MF"
"101","GO:1990782",0.0169308871268286,0.999120504395068,2,8,"protein tyrosine kinase binding","MF"
"105","GO:0002151",0.0256705946305078,1,1,1,"G-quadruplex RNA binding","MF"
"110","GO:0004055",0.0256705912041123,1,1,1,"argininosuccinate synthase activity","MF"
"111","GO:0004123",0.030421781770976,1,1,1,"cystathionine gamma-lyase activity","MF"
"112","GO:0005008",0.0256714084771227,1,1,1,"hepatocyte growth factor-activated receptor activity","MF"
"117","GO:0008324",0.0256705912041124,1,1,1,"cation transmembrane transporter activity","MF"
"127","GO:0016846",0.030421781770976,1,1,1,"carbon-sulfur lyase activity","MF"
"129","GO:0019871",0.0256705912041123,1,1,1,"sodium channel inhibitor activity","MF"
"131","GO:0030297",0.0256705912041124,1,1,1,"transmembrane receptor protein tyrosine kinase activator activity","MF"
"133","GO:0030616",0.0256705912041123,1,1,1,"transforming growth factor beta receptor, common-partner cytoplasmic mediator activity","MF"
"135","GO:0031748",0.0266598068730674,1,1,1,"D1 dopamine receptor binding","MF"
"139","GO:0032795",0.0256705912041123,1,1,1,"heterotrimeric G-protein binding","MF"
"143","GO:0033819",0.0256705912041123,1,1,1,"lipoyl(octanoyl) transferase activity","MF"
"162","GO:0044540",0.030421781770976,1,1,1,"L-cystine L-cysteine-lyase (deaminating)","MF"
"163","GO:0045183",0.039718232485031,1,1,1,"translation factor activity, non-nucleic acid binding","MF"
"170","GO:0050358",0.0256705912041124,1,1,1,"tropinone reductase activity","MF"
"172","GO:0050815",0.0256705912041123,1,1,1,"phosphoserine residue binding","MF"
"173","GO:0051428",0.0266598068730674,1,1,1,"peptide hormone receptor binding","MF"
"176","GO:0051717",0.0256705912041124,1,1,1,"inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity","MF"
"178","GO:0051800",0.0256705912041124,1,1,1,"phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity","MF"
"179","GO:0052899",0.0256743059266281,1,1,1,"N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF"
"180","GO:0052902",0.0256743059266281,1,1,1,"spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity","MF"
"181","GO:0052903",0.0256743059266281,1,1,1,"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF"
"182","GO:0052904",0.0256743059266281,1,1,1,"N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF"
"208","GO:0102555",0.0256705912041123,1,1,1,"octanoyl transferase activity (acting on glycine-cleavage complex H protein)","MF"
"213","GO:1902051",0.0256705912041124,1,1,1,"(25S)-Delta(4)-dafachronate binding","MF"
"214","GO:1902052",0.0256705912041124,1,1,1,"(25S)-Delta(7)-dafachronate binding","MF"
