"gene"	"pval.treatment"	"pval.position"	"pval.treatment_x_position"	"adj.pval.treatment"	"adj.pval.position"	"adj.pval.treatment_x_position"
"ID=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-202.4;Name=maker-PGA_scaffold4__129_contigs__length_65288255-exonerate_est2genome-gene-202.4"	0	4.84245856952139e-29	0.233040750269212	0	1.13940201635797e-28	0.392489684663936
"ID=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1;Name=maker-PGA_scaffold6__104_contigs__length_61759565-exonerate_est2genome-gene-532.1"	1.8547832898462e-170	3.96369999143637e-08	0.38797196589528	1.48382663187696e-168	8.02774681809898e-08	0.553379108499338
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-170.3;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-170.3"	4.06197491908877e-38	0.387275368322461	0.45704703531973	2.16638662351401e-36	0.476646607166106	0.610308665926577
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-186.40;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-186.40"	1.76019058221768e-32	0.521072725805144	0.514929635135184	7.04076232887072e-31	0.613026736241346	0.653878901758964
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.7;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-255.7"	5.11540333665838e-32	9.42546262218774e-06	0.0208594790472291	1.63692906773068e-30	1.79532621375005e-05	0.0483698064863283
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-193.10;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-193.10"	3.28565571025031e-30	0.630271520938511	0.671583103004171	8.76174856066748e-29	0.690708516096998	0.789904640328107
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_est2genome-gene-254.0"	3.93466567527146e-17	0.0231009760033157	0.937500523771902	8.99352154347763e-16	0.0373349107124294	0.960795213080058
"ID=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-14.21;Name=maker-PGA_scaffold3__111_contigs__length_57743597-exonerate_protein2genome-gene-14.21"	5.80368750476348e-15	1.09846268897681e-50	0.767044569142331	1.1607375009527e-13	2.74615672244202e-50	0.852271743491479
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-90.23;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-90.23"	2.07565611473271e-13	3.15246777141706e-13	0.942780302834807	3.69005531508038e-12	6.81614653279364e-13	0.960795213080058
"ID=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-121.8;Name=maker-PGA_scaffold18__69_contigs__length_27737463-exonerate_protein2genome-gene-121.8"	9.40044777650847e-09	0.354804386367803	0.830546241887414	1.50407164424136e-07	0.446997652116917	0.880048998026399
