ID,scaffold,start,end,df_Initial.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Residuals
Scaffold_01:37487642-37487765,Scaffold_01,37487642,37487765,2,9,1.96258921725687,0.0475607981187269,0.981294608628435,0.00528453312430299,185.69182660916,NA,4.82051001571969e-08,NA
Scaffold_04:22243623-22243695,Scaffold_04,22243623,22243695,2,9,1.09890259540509,0.365035222725691,0.549451297702547,0.0405594691917434,13.5468069146821,NA,0.00193043258178609,NA
Scaffold_10:49846117-49846282,Scaffold_10,49846117,49846282,2,9,0.116154847147189,0.0523204026241422,0.0580774235735947,0.00581337806934913,9.9903056159045,NA,0.00518331208301071,NA
Scaffold_10:53832902-53833154,Scaffold_10,53832902,53833154,2,9,0.391374218208727,0.177188125607278,0.195687109104363,0.0196875695119198,9.93962759018503,NA,0.00526567857315439,NA
Scaffold_09:29356096-29356222,Scaffold_09,29356096,29356222,2,9,0.37639408331227,0.23498697559076,0.188197041656135,0.0261096639545288,7.20794576230045,NA,0.0135298553516421,NA
Scaffold_12:47236827-47236988,Scaffold_12,47236827,47236988,2,8,0.771405854430183,0.399754962126326,0.385702927215092,0.0499693702657907,7.71878703220613,NA,0.0135740460456789,NA
Scaffold_14:9074147-9074271,Scaffold_14,9074147,9074271,2,9,0.214578736884537,0.135109070538971,0.107289368442269,0.0150121189487745,7.14685040855122,NA,0.0138521783145094,NA
Scaffold_12:22863763-22863908,Scaffold_12,22863763,22863908,2,9,0.277194871610318,0.191700285208487,0.138597435805159,0.0213000316898319,6.50691218789697,NA,0.017863294335606,NA
Scaffold_11:14395690-14396006,Scaffold_11,14395690,14396006,2,9,0.208362727506302,0.159948792343359,0.104181363753151,0.017772088038151,5.86207785655273,NA,0.0234393455796537,NA
Scaffold_10:29980980-29981357,Scaffold_10,29980980,29981357,2,9,0.482677847656315,0.399710234143712,0.241338923828157,0.0444122482381903,5.43406230042255,NA,0.0283390544167148,NA
Scaffold_15:13007406-13007468,Scaffold_15,13007406,13007468,2,9,0.0128419368771492,0.0109651083702603,0.00642096843857459,0.00121834537447336,5.27023664480204,NA,0.0305410130794429,NA
