"Sample.ID"	"scaffold"	"position"	"meth"	"unmeth"	"gene"	"treatment"	"per.meth"
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	11819152	0	44	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	11819209	0	56	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	11819212	0	39	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-118.1"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	14845077	0	53	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	14845119	1	48	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9"	"Ambient"	2.04081632653061
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	14846212	0	83	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	14846427	0	69	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-148.9"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	15832897	42	15	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-158.2;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-158.2"	"Ambient"	73.6842105263158
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	16221571	0	74	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-162.12;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-162.12"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	17555112	0	43	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	17555119	1	42	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3"	"Ambient"	2.32558139534884
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	17555162	0	27	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-175.3"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	18277244	1	33	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-182.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-182.0"	"Ambient"	2.94117647058824
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	1982692	6	45	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-19.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-19.3"	"Ambient"	11.7647058823529
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	20456050	0	20	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	20456053	2	21	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6"	"Ambient"	8.69565217391304
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	20456093	0	24	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	20456133	0	20	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-204.6"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453779	0	27	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453790	0	30	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453815	1	32	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	3.03030303030303
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453843	0	41	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453850	0	41	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453853	0	41	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453868	0	42	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453885	0	35	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453896	0	28	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453903	0	28	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2453921	1	25	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-24.10"	"Ambient"	3.84615384615385
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2520799	0	23	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2520802	0	23	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2520808	0	23	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2520935	0	64	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2520938	1	63	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	"Ambient"	1.5625
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2521019	0	25	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-25.71"	"Ambient"	0
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	26539566	22	9	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-265.2;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-265.2"	"Ambient"	70.9677419354839
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2803221	19	8	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0"	"Ambient"	70.3703703703704
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2803259	13	5	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0"	"Ambient"	72.2222222222222
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2803301	15	23	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0"	"Ambient"	39.4736842105263
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	2803341	20	4	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-28.0"	"Ambient"	83.3333333333333
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	28285604	8	69	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-282.27;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-282.27"	"Ambient"	10.3896103896104
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	28285670	67	26	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-282.27;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_protein2genome-gene-282.27"	"Ambient"	72.0430107526882
"EPI_151"	"PGA_scaffold12__71_contigs__length_50438331"	3068891	1	41	"ID=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-30.3;Name=maker-PGA_scaffold12__71_contigs__length_50438331-exonerate_est2genome-gene-30.3"	"Ambient"	2.38095238095238
