"gene"	"scaffold"	"start"	"stop"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"adj.pval.treatment1_x_position"	"adj.pval.treatment2_x_position"	"adj.pval.treatment1_x_pval.treatment2_x_position"	"uniprot.id"	"blastx.eval"	"score"	"protein"	"protein.name"	"taxon"	"Length"	"GO.BP"	"GO.CC"	"GO.GO"	"GO.MF"	"GO.IDs"
"PGEN_00000039"	"PGA_scaffold17__51_contigs__length_34923512"	1766262	1942166	0.0143843857489518	0.534528901968192	0.0396195790982723	0.0812904081320576	0.210782274843748	0.0104632084979073	"MYS2_DICDI"	9.17e-24	116	"Myosin-2 heavy chain (Myosin II heavy chain)"	"mhcA DDB_G0286355"	"Dictyostelium discoideum (Slime mold)"	2116	"actin-myosin filament sliding [GO:0033275]; aggregation involved in sorocarp development [GO:0031152]; bleb assembly [GO:0032060]; cell motility [GO:0048870]; chemotaxis [GO:0006935]; contractile actin filament bundle assembly [GO:0030038]; contractile vacuole organization [GO:0033298]; cortical actin cytoskeleton organization [GO:0030866]; culmination involved in sorocarp development [GO:0031154]; cytoplasmic actin-based contraction involved in forward cell motility [GO:0060328]; detection of mechanical stimulus [GO:0050982]; filopodium assembly [GO:0046847]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin filament assembly [GO:0031034]; negative regulation of actin filament polymerization [GO:0030837]; protein localization [GO:0008104]; pseudopodium retraction [GO:0031270]; regulation of cell shape [GO:0008360]; response to cAMP [GO:0051591]; response to differentiation-inducing factor 1 [GO:1903013]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; uropod retraction [GO:0034461]"	"actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell trailing edge [GO:0031254]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early phagosome [GO:0032009]; equatorial cell cortex [GO:1990753]; extracellular matrix [GO:0031012]; myosin II complex [GO:0016460]; myosin filament [GO:0032982]; phagocytic cup base [GO:0097204]; uropod [GO:0001931]"	"actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell trailing edge [GO:0031254]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early phagosome [GO:0032009]; equatorial cell cortex [GO:1990753]; extracellular matrix [GO:0031012]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; phagocytic cup base [GO:0097204]; uropod [GO:0001931]; 14-3-3 protein binding [GO:0071889]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; adenyl nucleotide binding [GO:0030554]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein homodimerization activity [GO:0042803]; actin-myosin filament sliding [GO:0033275]; aggregation involved in sorocarp development [GO:0031152]; bleb assembly [GO:0032060]; cell motility [GO:0048870]; chemotaxis [GO:0006935]; contractile actin filament bundle assembly [GO:0030038]; contractile vacuole organization [GO:0033298]; cortical actin cytoskeleton organization [GO:0030866]; culmination involved in sorocarp development [GO:0031154]; cytoplasmic actin-based contraction involved in forward cell motility [GO:0060328]; detection of mechanical stimulus [GO:0050982]; filopodium assembly [GO:0046847]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin filament assembly [GO:0031034]; negative regulation of actin filament polymerization [GO:0030837]; protein localization [GO:0008104]; pseudopodium retraction [GO:0031270]; regulation of cell shape [GO:0008360]; response to cAMP [GO:0051591]; response to differentiation-inducing factor 1 [GO:1903013]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; uropod retraction [GO:0034461]"	"14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; adenyl nucleotide binding [GO:0030554]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein homodimerization activity [GO:0042803]"	"GO:0000146; GO:0000281; GO:0001931; GO:0003774; GO:0005516; GO:0005524; GO:0005826; GO:0005829; GO:0005856; GO:0005938; GO:0006935; GO:0006971; GO:0008104; GO:0008360; GO:0009612; GO:0016460; GO:0030038; GO:0030554; GO:0030837; GO:0030864; GO:0030866; GO:0030898; GO:0031012; GO:0031034; GO:0031152; GO:0031154; GO:0031254; GO:0031270; GO:0031410; GO:0032009; GO:0032060; GO:0032982; GO:0033275; GO:0033298; GO:0034461; GO:0042542; GO:0042641; GO:0042802; GO:0042803; GO:0045179; GO:0046847; GO:0048870; GO:0050982; GO:0051015; GO:0051591; GO:0060328; GO:0071889; GO:0097204; GO:1903013; GO:1990753"
"PGEN_00000039"	"PGA_scaffold17__51_contigs__length_34923512"	1766262	1942166	0.0143843857489518	0.534528901968192	0.0396195790982723	0.0812904081320576	0.210782274843748	0.0104632084979073	"MYS2_DICDI"	2.68e-20	104	"Myosin-2 heavy chain (Myosin II heavy chain)"	"mhcA DDB_G0286355"	"Dictyostelium discoideum (Slime mold)"	2116	"actin-myosin filament sliding [GO:0033275]; aggregation involved in sorocarp development [GO:0031152]; bleb assembly [GO:0032060]; cell motility [GO:0048870]; chemotaxis [GO:0006935]; contractile actin filament bundle assembly [GO:0030038]; contractile vacuole organization [GO:0033298]; cortical actin cytoskeleton organization [GO:0030866]; culmination involved in sorocarp development [GO:0031154]; cytoplasmic actin-based contraction involved in forward cell motility [GO:0060328]; detection of mechanical stimulus [GO:0050982]; filopodium assembly [GO:0046847]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin filament assembly [GO:0031034]; negative regulation of actin filament polymerization [GO:0030837]; protein localization [GO:0008104]; pseudopodium retraction [GO:0031270]; regulation of cell shape [GO:0008360]; response to cAMP [GO:0051591]; response to differentiation-inducing factor 1 [GO:1903013]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; uropod retraction [GO:0034461]"	"actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell trailing edge [GO:0031254]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early phagosome [GO:0032009]; equatorial cell cortex [GO:1990753]; extracellular matrix [GO:0031012]; myosin II complex [GO:0016460]; myosin filament [GO:0032982]; phagocytic cup base [GO:0097204]; uropod [GO:0001931]"	"actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell trailing edge [GO:0031254]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early phagosome [GO:0032009]; equatorial cell cortex [GO:1990753]; extracellular matrix [GO:0031012]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; phagocytic cup base [GO:0097204]; uropod [GO:0001931]; 14-3-3 protein binding [GO:0071889]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; adenyl nucleotide binding [GO:0030554]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein homodimerization activity [GO:0042803]; actin-myosin filament sliding [GO:0033275]; aggregation involved in sorocarp development [GO:0031152]; bleb assembly [GO:0032060]; cell motility [GO:0048870]; chemotaxis [GO:0006935]; contractile actin filament bundle assembly [GO:0030038]; contractile vacuole organization [GO:0033298]; cortical actin cytoskeleton organization [GO:0030866]; culmination involved in sorocarp development [GO:0031154]; cytoplasmic actin-based contraction involved in forward cell motility [GO:0060328]; detection of mechanical stimulus [GO:0050982]; filopodium assembly [GO:0046847]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin filament assembly [GO:0031034]; negative regulation of actin filament polymerization [GO:0030837]; protein localization [GO:0008104]; pseudopodium retraction [GO:0031270]; regulation of cell shape [GO:0008360]; response to cAMP [GO:0051591]; response to differentiation-inducing factor 1 [GO:1903013]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; uropod retraction [GO:0034461]"	"14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; adenyl nucleotide binding [GO:0030554]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein homodimerization activity [GO:0042803]"	"GO:0000146; GO:0000281; GO:0001931; GO:0003774; GO:0005516; GO:0005524; GO:0005826; GO:0005829; GO:0005856; GO:0005938; GO:0006935; GO:0006971; GO:0008104; GO:0008360; GO:0009612; GO:0016460; GO:0030038; GO:0030554; GO:0030837; GO:0030864; GO:0030866; GO:0030898; GO:0031012; GO:0031034; GO:0031152; GO:0031154; GO:0031254; GO:0031270; GO:0031410; GO:0032009; GO:0032060; GO:0032982; GO:0033275; GO:0033298; GO:0034461; GO:0042542; GO:0042641; GO:0042802; GO:0042803; GO:0045179; GO:0046847; GO:0048870; GO:0050982; GO:0051015; GO:0051591; GO:0060328; GO:0071889; GO:0097204; GO:1903013; GO:1990753"
"PGEN_00000039"	"PGA_scaffold17__51_contigs__length_34923512"	1766262	1942166	0.0143843857489518	0.534528901968192	0.0396195790982723	0.0812904081320576	0.210782274843748	0.0104632084979073	"MYS2_DICDI"	1.67e-32	145	"Myosin-2 heavy chain (Myosin II heavy chain)"	"mhcA DDB_G0286355"	"Dictyostelium discoideum (Slime mold)"	2116	"actin-myosin filament sliding [GO:0033275]; aggregation involved in sorocarp development [GO:0031152]; bleb assembly [GO:0032060]; cell motility [GO:0048870]; chemotaxis [GO:0006935]; contractile actin filament bundle assembly [GO:0030038]; contractile vacuole organization [GO:0033298]; cortical actin cytoskeleton organization [GO:0030866]; culmination involved in sorocarp development [GO:0031154]; cytoplasmic actin-based contraction involved in forward cell motility [GO:0060328]; detection of mechanical stimulus [GO:0050982]; filopodium assembly [GO:0046847]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin filament assembly [GO:0031034]; negative regulation of actin filament polymerization [GO:0030837]; protein localization [GO:0008104]; pseudopodium retraction [GO:0031270]; regulation of cell shape [GO:0008360]; response to cAMP [GO:0051591]; response to differentiation-inducing factor 1 [GO:1903013]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; uropod retraction [GO:0034461]"	"actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell trailing edge [GO:0031254]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early phagosome [GO:0032009]; equatorial cell cortex [GO:1990753]; extracellular matrix [GO:0031012]; myosin II complex [GO:0016460]; myosin filament [GO:0032982]; phagocytic cup base [GO:0097204]; uropod [GO:0001931]"	"actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; apical cortex [GO:0045179]; cell cortex [GO:0005938]; cell trailing edge [GO:0031254]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early phagosome [GO:0032009]; equatorial cell cortex [GO:1990753]; extracellular matrix [GO:0031012]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; phagocytic cup base [GO:0097204]; uropod [GO:0001931]; 14-3-3 protein binding [GO:0071889]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; adenyl nucleotide binding [GO:0030554]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein homodimerization activity [GO:0042803]; actin-myosin filament sliding [GO:0033275]; aggregation involved in sorocarp development [GO:0031152]; bleb assembly [GO:0032060]; cell motility [GO:0048870]; chemotaxis [GO:0006935]; contractile actin filament bundle assembly [GO:0030038]; contractile vacuole organization [GO:0033298]; cortical actin cytoskeleton organization [GO:0030866]; culmination involved in sorocarp development [GO:0031154]; cytoplasmic actin-based contraction involved in forward cell motility [GO:0060328]; detection of mechanical stimulus [GO:0050982]; filopodium assembly [GO:0046847]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin filament assembly [GO:0031034]; negative regulation of actin filament polymerization [GO:0030837]; protein localization [GO:0008104]; pseudopodium retraction [GO:0031270]; regulation of cell shape [GO:0008360]; response to cAMP [GO:0051591]; response to differentiation-inducing factor 1 [GO:1903013]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; uropod retraction [GO:0034461]"	"14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; adenyl nucleotide binding [GO:0030554]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein homodimerization activity [GO:0042803]"	"GO:0000146; GO:0000281; GO:0001931; GO:0003774; GO:0005516; GO:0005524; GO:0005826; GO:0005829; GO:0005856; GO:0005938; GO:0006935; GO:0006971; GO:0008104; GO:0008360; GO:0009612; GO:0016460; GO:0030038; GO:0030554; GO:0030837; GO:0030864; GO:0030866; GO:0030898; GO:0031012; GO:0031034; GO:0031152; GO:0031154; GO:0031254; GO:0031270; GO:0031410; GO:0032009; GO:0032060; GO:0032982; GO:0033275; GO:0033298; GO:0034461; GO:0042542; GO:0042641; GO:0042802; GO:0042803; GO:0045179; GO:0046847; GO:0048870; GO:0050982; GO:0051015; GO:0051591; GO:0060328; GO:0071889; GO:0097204; GO:1903013; GO:1990753"
"PGEN_00000055"	"PGA_scaffold17__51_contigs__length_34923512"	2396673	2401967	1.34448319807522e-05	0.722439077097403	1.99744559617206e-06	0.690257302514886	0.540526033975349	0.726086003784813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00000114"	"PGA_scaffold17__51_contigs__length_34923512"	4818210	4842128	1.50700993860335e-05	1.03226476675994e-05	2.87302081099252e-23	0.578305572553025	0.512170907724934	0.0200900909055574	"ECT_ACRMI"	1.26e-13	72	"Ectin (Fragment)"	""	"Acropora millepora (Staghorn coral) (Heteropora millepora)"	400	""	"extracellular region [GO:0005576]"	"extracellular region [GO:0005576]"	""	"GO:0005576"
"PGEN_00000119"	"PGA_scaffold17__51_contigs__length_34923512"	4950853	4976182	0.170956510225102	0.537234252832976	0	0.653453762543619	0	0	"IMB1_MOUSE"	6.92e-10	64.7	"Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG)"	"Kpnb1 Impnb"	"Mus musculus (Mouse)"	876	"Ran protein signal transduction [GO:0031291]; astral microtubule organization [GO:0030953]; establishment of mitotic spindle localization [GO:0040001]; establishment of protein localization [GO:0045184]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; protein import into nucleus [GO:0006606]; ribosomal protein import into nucleus [GO:0006610]"	"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme binding [GO:0019899]; Hsp90 protein binding [GO:0051879]; importin-alpha family protein binding [GO:0061676]; kinesin binding [GO:0019894]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; Ran GTPase binding [GO:0008536]; astral microtubule organization [GO:0030953]; establishment of mitotic spindle localization [GO:0040001]; establishment of protein localization [GO:0045184]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; protein import into nucleus [GO:0006606]; Ran protein signal transduction [GO:0031291]; ribosomal protein import into nucleus [GO:0006610]"	"Hsp90 protein binding [GO:0051879]; Ran GTPase binding [GO:0008536]; enzyme binding [GO:0019899]; importin-alpha family protein binding [GO:0061676]; kinesin binding [GO:0019894]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]"	"GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006606; GO:0006610; GO:0007079; GO:0007080; GO:0008139; GO:0008536; GO:0010494; GO:0019894; GO:0019899; GO:0019904; GO:0030953; GO:0031291; GO:0031965; GO:0032991; GO:0040001; GO:0044877; GO:0045184; GO:0051879; GO:0061608; GO:0061676; GO:0071782; GO:0090307"
"PGEN_00000119"	"PGA_scaffold17__51_contigs__length_34923512"	4950853	4976182	0.170956510225102	0.537234252832976	0	0.653453762543619	0	0	"IMB1_MOUSE"	5.88e-24	107	"Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG)"	"Kpnb1 Impnb"	"Mus musculus (Mouse)"	876	"Ran protein signal transduction [GO:0031291]; astral microtubule organization [GO:0030953]; establishment of mitotic spindle localization [GO:0040001]; establishment of protein localization [GO:0045184]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; protein import into nucleus [GO:0006606]; ribosomal protein import into nucleus [GO:0006610]"	"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme binding [GO:0019899]; Hsp90 protein binding [GO:0051879]; importin-alpha family protein binding [GO:0061676]; kinesin binding [GO:0019894]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; Ran GTPase binding [GO:0008536]; astral microtubule organization [GO:0030953]; establishment of mitotic spindle localization [GO:0040001]; establishment of protein localization [GO:0045184]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; protein import into nucleus [GO:0006606]; Ran protein signal transduction [GO:0031291]; ribosomal protein import into nucleus [GO:0006610]"	"Hsp90 protein binding [GO:0051879]; Ran GTPase binding [GO:0008536]; enzyme binding [GO:0019899]; importin-alpha family protein binding [GO:0061676]; kinesin binding [GO:0019894]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]"	"GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006606; GO:0006610; GO:0007079; GO:0007080; GO:0008139; GO:0008536; GO:0010494; GO:0019894; GO:0019899; GO:0019904; GO:0030953; GO:0031291; GO:0031965; GO:0032991; GO:0040001; GO:0044877; GO:0045184; GO:0051879; GO:0061608; GO:0061676; GO:0071782; GO:0090307"
"PGEN_00000119"	"PGA_scaffold17__51_contigs__length_34923512"	4950853	4976182	0.170956510225102	0.537234252832976	0	0.653453762543619	0	0	"IMB1_MOUSE"	6.52e-88	287	"Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97) (SCG)"	"Kpnb1 Impnb"	"Mus musculus (Mouse)"	876	"Ran protein signal transduction [GO:0031291]; astral microtubule organization [GO:0030953]; establishment of mitotic spindle localization [GO:0040001]; establishment of protein localization [GO:0045184]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; protein import into nucleus [GO:0006606]; ribosomal protein import into nucleus [GO:0006610]"	"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; endoplasmic reticulum tubular network [GO:0071782]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme binding [GO:0019899]; Hsp90 protein binding [GO:0051879]; importin-alpha family protein binding [GO:0061676]; kinesin binding [GO:0019894]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; Ran GTPase binding [GO:0008536]; astral microtubule organization [GO:0030953]; establishment of mitotic spindle localization [GO:0040001]; establishment of protein localization [GO:0045184]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase plate congression [GO:0007080]; mitotic spindle assembly [GO:0090307]; protein import into nucleus [GO:0006606]; Ran protein signal transduction [GO:0031291]; ribosomal protein import into nucleus [GO:0006610]"	"Hsp90 protein binding [GO:0051879]; Ran GTPase binding [GO:0008536]; enzyme binding [GO:0019899]; importin-alpha family protein binding [GO:0061676]; kinesin binding [GO:0019894]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]"	"GO:0005634; GO:0005635; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0006606; GO:0006610; GO:0007079; GO:0007080; GO:0008139; GO:0008536; GO:0010494; GO:0019894; GO:0019899; GO:0019904; GO:0030953; GO:0031291; GO:0031965; GO:0032991; GO:0040001; GO:0044877; GO:0045184; GO:0051879; GO:0061608; GO:0061676; GO:0071782; GO:0090307"
"PGEN_00000144"	"PGA_scaffold17__51_contigs__length_34923512"	6037300	6038255	0.775075187878806	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PGEN_00000166"	"PGA_scaffold17__51_contigs__length_34923512"	6827009	6845867	0.000438956005357736	0.99999365734988	6.25454461638396e-06	0.939492418567987	0.717688463343081	0.374291153487397	"LR74A_HUMAN"	1.77e-59	207	"Leucine-rich repeat-containing protein 74A (Leucine-rich repeat-containing protein 74)"	"LRRC74A C14orf166B LRRC74"	"Homo sapiens (Human)"	488	""	""	""	""	""
